>>> Training text translator configs...
d_model: 512
n_layers: 6
n_heads: 8
d_ff: 2048
max_len: 256
dropout: 0.1
batch_size: 128
epochs: 10
warmup: 100
init_lr: 1e-05
factor: 0.9
adam_eps: 5e-09
patience: 10
clip: 1.0
weight_decay: 0.0005
gpu_id: 0
src_mode: en
tgt_mode: de
data_path: ./data/multi30k/task1/raw/
>>> Loading the dataset...
>>> Loading the dataset... Done! <<<
>>> Building the transformer model...
>>> trainable parameters: 69384975 trainable parameters size: 264.682674407959 MB <<<
>>> Building the transformer model... Done! <<<
>>> Building the optimizer, scheduler and criterion...
>>> Building the optimizer, scheduler and criterion... Done! <<<
[Step: 57/227 | Batch Loss: 7.1518 | Batch Time: 0.08s | Elapsed Time: 5.12s | Estimated Remaining Time: 0h 0m 13s]
[Step: 58/227 | Batch Loss: 7.1501 | Batch Time: 0.08s | Elapsed Time: 5.21s | Estimated Remaining Time: 0h 0m 13s]
[Step: 59/227 | Batch Loss: 7.2237 | Batch Time: 0.08s | Elapsed Time: 5.29s | Estimated Remaining Time: 0h 0m 13s]
[Step: 60/227 | Batch Loss: 7.1767 | Batch Time: 0.09s | Elapsed Time: 5.39s | Estimated Remaining Time: 0h 0m 15s]
[Step: 61/227 | Batch Loss: 7.0806 | Batch Time: 0.08s | Elapsed Time: 5.48s | Estimated Remaining Time: 0h 0m 13s]
[Step: 62/227 | Batch Loss: 7.0804 | Batch Time: 0.08s | Elapsed Time: 5.56s | Estimated Remaining Time: 0h 0m 13s]
[Step: 63/227 | Batch Loss: 7.2898 | Batch Time: 0.08s | Elapsed Time: 5.65s | Estimated Remaining Time: 0h 0m 13s]
[Step: 64/227 | Batch Loss: 7.1154 | Batch Time: 0.08s | Elapsed Time: 5.73s | Estimated Remaining Time: 0h 0m 12s]
[Step: 65/227 | Batch Loss: 7.0326 | Batch Time: 0.08s | Elapsed Time: 5.81s | Estimated Remaining Time: 0h 0m 12s]
[Step: 66/227 | Batch Loss: 7.1298 | Batch Time: 0.08s | Elapsed Time: 5.89s | Estimated Remaining Time: 0h 0m 12s]
[Step: 67/227 | Batch Loss: 7.1242 | Batch Time: 0.09s | Elapsed Time: 5.98s | Estimated Remaining Time: 0h 0m 13s]
[Step: 68/227 | Batch Loss: 7.1086 | Batch Time: 0.09s | Elapsed Time: 6.08s | Estimated Remaining Time: 0h 0m 14s]
[Step: 69/227 | Batch Loss: 7.0965 | Batch Time: 0.08s | Elapsed Time: 6.17s | Estimated Remaining Time: 0h 0m 13s]
[Step: 70/227 | Batch Loss: 7.0696 | Batch Time: 0.08s | Elapsed Time: 6.25s | Estimated Remaining Time: 0h 0m 12s]
[Step: 71/227 | Batch Loss: 7.0446 | Batch Time: 0.07s | Elapsed Time: 6.33s | Estimated Remaining Time: 0h 0m 11s]
[Step: 72/227 | Batch Loss: 6.9488 | Batch Time: 0.07s | Elapsed Time: 6.41s | Estimated Remaining Time: 0h 0m 11s]
[Step: 73/227 | Batch Loss: 7.0259 | Batch Time: 0.07s | Elapsed Time: 6.49s | Estimated Remaining Time: 0h 0m 10s]
[Step: 74/227 | Batch Loss: 7.0358 | Batch Time: 0.07s | Elapsed Time: 6.57s | Estimated Remaining Time: 0h 0m 10s]
[Step: 75/227 | Batch Loss: 7.0609 | Batch Time: 0.08s | Elapsed Time: 6.65s | Estimated Remaining Time: 0h 0m 11s]
[Step: 76/227 | Batch Loss: 7.0424 | Batch Time: 0.08s | Elapsed Time: 6.73s | Estimated Remaining Time: 0h 0m 11s]
[Step: 77/227 | Batch Loss: 6.8150 | Batch Time: 0.07s | Elapsed Time: 6.81s | Estimated Remaining Time: 0h 0m 11s]
[Step: 78/227 | Batch Loss: 6.9801 | Batch Time: 0.08s | Elapsed Time: 6.89s | Estimated Remaining Time: 0h 0m 11s]
[Step: 79/227 | Batch Loss: 6.9804 | Batch Time: 0.07s | Elapsed Time: 6.97s | Estimated Remaining Time: 0h 0m 10s]
[Step: 80/227 | Batch Loss: 7.0525 | Batch Time: 0.08s | Elapsed Time: 7.06s | Estimated Remaining Time: 0h 0m 11s]
[Step: 81/227 | Batch Loss: 6.8893 | Batch Time: 0.08s | Elapsed Time: 7.14s | Estimated Remaining Time: 0h 0m 10s]
[Step: 82/227 | Batch Loss: 6.9148 | Batch Time: 0.08s | Elapsed Time: 7.22s | Estimated Remaining Time: 0h 0m 11s]
[Step: 83/227 | Batch Loss: 6.8317 | Batch Time: 0.08s | Elapsed Time: 7.31s | Estimated Remaining Time: 0h 0m 12s]
[Step: 84/227 | Batch Loss: 6.8667 | Batch Time: 0.09s | Elapsed Time: 7.41s | Estimated Remaining Time: 0h 0m 13s]
[Step: 85/227 | Batch Loss: 6.9075 | Batch Time: 0.08s | Elapsed Time: 7.50s | Estimated Remaining Time: 0h 0m 11s]
[Step: 86/227 | Batch Loss: 7.0274 | Batch Time: 0.09s | Elapsed Time: 7.59s | Estimated Remaining Time: 0h 0m 12s]
[Step: 87/227 | Batch Loss: 6.8771 | Batch Time: 0.09s | Elapsed Time: 7.69s | Estimated Remaining Time: 0h 0m 12s]
[Step: 88/227 | Batch Loss: 6.9768 | Batch Time: 0.08s | Elapsed Time: 7.77s | Estimated Remaining Time: 0h 0m 11s]
[Step: 89/227 | Batch Loss: 6.7648 | Batch Time: 0.08s | Elapsed Time: 7.86s | Estimated Remaining Time: 0h 0m 11s]
[Step: 90/227 | Batch Loss: 6.8366 | Batch Time: 0.08s | Elapsed Time: 7.94s | Estimated Remaining Time: 0h 0m 10s]
[Step: 91/227 | Batch Loss: 6.9309 | Batch Time: 0.08s | Elapsed Time: 8.02s | Estimated Remaining Time: 0h 0m 10s]
[Step: 92/227 | Batch Loss: 6.9134 | Batch Time: 0.08s | Elapsed Time: 8.11s | Estimated Remaining Time: 0h 0m 10s]
[Step: 93/227 | Batch Loss: 6.8237 | Batch Time: 0.08s | Elapsed Time: 8.19s | Estimated Remaining Time: 0h 0m 10s]
[Step: 94/227 | Batch Loss: 6.7676 | Batch Time: 0.08s | Elapsed Time: 8.27s | Estimated Remaining Time: 0h 0m 10s]
[Step: 95/227 | Batch Loss: 6.8054 | Batch Time: 0.08s | Elapsed Time: 8.35s | Estimated Remaining Time: 0h 0m 10s]
[Step: 96/227 | Batch Loss: 6.8890 | Batch Time: 0.08s | Elapsed Time: 8.43s | Estimated Remaining Time: 0h 0m 10s]
[Step: 97/227 | Batch Loss: 6.7888 | Batch Time: 0.09s | Elapsed Time: 8.53s | Estimated Remaining Time: 0h 0m 11s]
[Step: 98/227 | Batch Loss: 6.7932 | Batch Time: 0.08s | Elapsed Time: 8.61s | Estimated Remaining Time: 0h 0m 10s]
[Step: 99/227 | Batch Loss: 6.8194 | Batch Time: 0.08s | Elapsed Time: 8.70s | Estimated Remaining Time: 0h 0m 10s]
[Step: 100/227 | Batch Loss: 6.7669 | Batch Time: 0.08s | Elapsed Time: 8.78s | Estimated Remaining Time: 0h 0m 9s]
[Step: 101/227 | Batch Loss: 6.8282 | Batch Time: 0.08s | Elapsed Time: 8.87s | Estimated Remaining Time: 0h 0m 10s]
[Step: 102/227 | Batch Loss: 6.6595 | Batch Time: 0.08s | Elapsed Time: 8.95s | Estimated Remaining Time: 0h 0m 9s]
[Step: 103/227 | Batch Loss: 6.7537 | Batch Time: 0.09s | Elapsed Time: 9.04s | Estimated Remaining Time: 0h 0m 10s]
[Step: 104/227 | Batch Loss: 6.7053 | Batch Time: 0.09s | Elapsed Time: 9.13s | Estimated Remaining Time: 0h 0m 10s]
[Step: 105/227 | Batch Loss: 6.7884 | Batch Time: 0.08s | Elapsed Time: 9.21s | Estimated Remaining Time: 0h 0m 9s]
[Step: 106/227 | Batch Loss: 6.7602 | Batch Time: 0.08s | Elapsed Time: 9.30s | Estimated Remaining Time: 0h 0m 10s]
[Step: 107/227 | Batch Loss: 6.6194 | Batch Time: 0.08s | Elapsed Time: 9.39s | Estimated Remaining Time: 0h 0m 9s]
[Step: 108/227 | Batch Loss: 6.5493 | Batch Time: 0.08s | Elapsed Time: 9.47s | Estimated Remaining Time: 0h 0m 8s]
[Step: 109/227 | Batch Loss: 6.7037 | Batch Time: 0.08s | Elapsed Time: 9.55s | Estimated Remaining Time: 0h 0m 9s]
[Step: 110/227 | Batch Loss: 6.7386 | Batch Time: 0.08s | Elapsed Time: 9.64s | Estimated Remaining Time: 0h 0m 9s]
